Galaxy Name,Type (RC3),err,D,GLON,GLAT,Vgsr (RC3),wts
SGR dSPH,d Sph(t),0.2,0.02,5.6,-14.2,170,5
SGR dSPH,d Sph(t),0.2,0.025,5.6,-14.2,170,5
SGR dSPH,d Sph(t),0.2,0.025,5.6,-14.2,170,5
LMC,SBS9,0.13,0.05,280.5,-32.9,119,7.692307692
"SMC, NGC 0292",SBS9P,0.18,0.055,302.8,-44.3,34,5.555555556
"SMC, NGC 0292",SBS9P,0.07,0.055,302.8,-44.3,34,14.28571429
"SMC, NGC 0292",SBS9P,0.08,0.056,302.8,-44.3,34,12.5
"SMC, NGC 0292",SBS9P,0.07,0.057,302.8,-44.3,34,14.28571429
"SMC, NGC 0292",SBS9P,0.07,0.057,302.8,-44.3,34,14.28571429
"SMC, NGC 0292",SBS9P,0.2,0.058,302.8,-44.3,34,5
"SMC, NGC 0292",SBS9P,0.05,0.058,302.8,-44.3,34,20
"SMC, NGC 0292",SBS9P,0.1,0.059,302.8,-44.3,34,10
"SMC, NGC 0292",SBS9P,0.07,0.059,302.8,-44.3,34,14.28571429
"SMC, NGC 0292",SBS9P,0.06,0.059,302.8,-44.3,34,16.66666667
"DDO 199, Ursa Minor Dwarf",E,0.2,0.06,105,44.8,-47,5
"SMC, NGC 0292",SBS9P,0.2,0.06,302.8,-44.3,34,5
"SMC, NGC 0292",SBS9P,0.12,0.06,302.8,-44.3,34,8.333333333
"SMC, NGC 0292",SBS9P,0.07,0.06,302.8,-44.3,34,14.28571429
"SMC, NGC 0292",SBS9P,0.07,0.06,302.8,-44.3,34,14.28571429
"SMC, NGC 0292",SBS9P,0.04,0.06,302.8,-44.3,34,25
"SMC, NGC 0292",SBS9P,0.04,0.06,302.8,-44.3,34,25
"SMC, NGC 0292",SBS9P,0.01,0.06,302.8,-44.3,34,100
"SMC, NGC 0292",SBS9P,0.01,0.06,302.8,-44.3,34,100
"SMC, NGC 0292",SBS9P,0.2,0.061,302.8,-44.3,34,5
"SMC, NGC 0292",SBS9P,0.2,0.061,302.8,-44.3,34,5
"SMC, NGC 0292",SBS9P,0.24,0.061,302.8,-44.3,34,4.166666667
"SMC, NGC 0292",SBS9P,0.04,0.061,302.8,-44.3,34,25
"SMC, NGC 0292",SBS9P,0.04,0.061,302.8,-44.3,34,25
"SMC, NGC 0292",SBS9P,0.03,0.061,302.8,-44.3,34,33.33333333
"SMC, NGC 0292",SBS9P,0.2,0.062,302.8,-44.3,34,5
"SMC, NGC 0292",SBS9P,0.2,0.063,302.8,-44.3,34,5
"SMC, NGC 0292",SBS9P,0.28,0.063,302.8,-44.3,34,3.571428571
"SMC, NGC 0292",SBS9P,0.13,0.063,302.8,-44.3,34,7.692307692
